Location,Order #,Sent Date,Modifier,Option Group Name,Parent Menu Selection,Discount,Net Price,Qty,Void?,Void Reason
Los Gatos,2,4/1/24 12:02 PM,Castelvetrano Only,,3 Olive Sampler,0.00,0.00,1.0,false,
Los Gatos,1,4/1/24 12:07 PM,Add Roma Tomatoes,Burrata Options,DiStefano Burrata,0.00,5.00,1.0,false,
Los Gatos,1,4/1/24 12:33 PM,Add 5 Shrimp,Pasta Options,Carbonara,0.00,12.00,1.0,false,
Los Gatos,4,4/1/24 12:35 PM,Crumbles On The Side,,1/2 Gorgonzola,0.00,0.00,1.0,false,
Los Gatos,11,4/1/24 1:38 PM,Extra Dressing,,Caesar,0.00,0.00,1.0,false,
Los Gatos,10,4/1/24 1:39 PM,Add Shrimp ,Insalate Options,Mista,0.00,12.00,1.0,false,
Los Gatos,12,4/1/24 1:52 PM,2 Bolzano 1 Funghi,,Bolzano,0.00,0.00,1.0,false,
Los Gatos,13,4/1/24 2:11 PM,Only Green Olives,,3 Olive Sampler,0.00,0.00,1.0,false,
Los Gatos,7,4/1/24 2:36 PM,With Milk,Coffee Mods,Large French Press Coffee,0.00,0.00,1.0,false,
Los Gatos,7,4/1/24 2:36 PM,Sugar,Coffee Mods,Large French Press Coffee,0.00,0.00,1.0,false,
Los Gatos,14,4/1/24 3:26 PM,NO MAKE,,Crostini Sampler,0.00,0.00,1.0,false,
Los Gatos,16,4/1/24 3:34 PM,Add Roma Tomatoes,Burrata Options,DiStefano Burrata,0.00,5.00,1.0,false,
Los Gatos,16,4/1/24 3:34 PM,Pressed,Caprese Panini Options,Caprese Panini,0.00,0.00,1.0,false,
Los Gatos,15,4/1/24 3:48 PM,Add Roma Tomatoes,Burrata Options,DiStefano Burrata,0.00,5.00,1.0,false,
Los Gatos,20,4/1/24 5:03 PM,Add Salmon,Insalate Options,Mista,0.00,14.00,1.0,false,
Los Gatos,23,4/1/24 5:19 PM,Add Roma Tomatoes,Burrata Options,DiStefano Burrata,0.00,5.00,1.0,false,
Los Gatos,23,4/1/24 5:33 PM,Dressing On Side,Insalate Options,Mista,0.00,0.00,1.0,false,
Los Gatos,23,4/1/24 5:33 PM,Extra Meat,,Ricchezza (Picollo),0.00,0.00,1.0,false,
Los Gatos,26,4/1/24 6:22 PM,Add Arugula,Insalate Options,Caprese Insalate,0.00,3.00,1.0,false,
Los Gatos,24,4/1/24 6:28 PM,Add One Meatball,Options,Meatballs,0.00,7.00,1.0,false,
Los Gatos,29,4/1/24 6:39 PM,Light Dressing,Insalate Options,Caesar,0.00,0.00,1.0,false,
Los Gatos,29,4/1/24 6:40 PM,Add 5 Shrimp,Pasta Options,Aglio e Olio,0.00,12.00,1.0,false,
Los Gatos,29,4/1/24 6:40 PM,No Bread Crumbs,,Aglio e Olio,0.00,0.00,1.0,false,
Los Gatos,29,4/1/24 6:40 PM,Add Two Meatballs,Pasta Options,Spaghetti Marinara,0.00,12.00,1.0,false,
Los Gatos,34,4/1/24 7:22 PM,Add Pepperchini,,Sonny's Sandwich,0.00,0.00,1.0,false,
Los Gatos,15,4/2/24 5:55 PM,Both Split,,Tonno Panini,0.00,0.00,1.0,false,
Los Gatos,16,4/2/24 5:58 PM,Add Two Meatballs,Pasta Options,Spaghetti Marinara,0.00,12.00,1.0,false,
Los Gatos,17,4/2/24 6:19 PM,Add Chicken,Insalate Options,Gorgonzola Salad,0.00,9.00,1.0,false,
Los Gatos,17,4/2/24 6:19 PM,Add Chicken,Insalate Options,Caesar,0.00,9.00,1.0,false,
Los Gatos,17,4/2/24 6:19 PM,Add Chicken,Insalate Options,Caprese Insalate,0.00,9.00,1.0,false,
Los Gatos,22,4/2/24 6:29 PM,Extra Red Pepper,,Aglio e Olio,0.00,0.00,1.0,false,
Los Gatos,21,4/2/24 6:36 PM,Add Roma Tomatoes,Burrata Options,DiStefano Burrata,0.00,5.00,1.0,false,
Los Gatos,27,4/2/24 7:14 PM,Castelvetrano,,3 Olive Sampler,0.00,0.00,1.0,false,
Los Gatos,24,4/2/24 7:39 PM,Add Roma Tomatoes,Burrata Options,DiStefano Burrata,0.00,5.00,1.0,false,
Los Gatos,30,4/2/24 7:45 PM,Add Roma Tomatoes,Burrata Options,DiStefano Burrata,0.00,5.00,1.0,false,
Los Gatos,30,4/2/24 7:57 PM,Add One Meatball,Options,Meatballs,0.00,7.00,1.0,false,
Los Gatos,1,4/3/24 12:31 PM,Add Shrimp ,Insalate Options,Caesar,0.00,12.00,1.0,false,
Los Gatos,4,4/3/24 12:47 PM,Add Roma Tomatoes,Burrata Options,DiStefano Burrata,0.00,5.00,1.0,false,
Los Gatos,5,4/3/24 12:49 PM,No Onions On Falf,,Mista,0.00,0.00,1.0,false,
Los Gatos,6,4/3/24 12:54 PM,"No Chili ,no Letuce On Plate",,Calabrese Lo Riscaldo,0.00,0.00,1.0,false,
Los Gatos,7,4/3/24 1:02 PM,Add Roma Tomatoes,Burrata Options,DiStefano Burrata,0.00,5.00,1.0,false,
Los Gatos,1,4/3/24 1:20 PM,Bday,,Tiramisu,0.00,0.00,1.0,false,
Los Gatos,14,4/3/24 5:47 PM,Cut In 4,,Calabrese Lo Riscaldo,0.00,0.00,1.0,false,
Los Gatos,14,4/3/24 5:47 PM,Cut In 4,,Arthur Ave,0.00,0.00,1.0,false,
Los Gatos,18,4/3/24 6:04 PM,Large Side Of Cippolini Onions,,DiStefano Burrata,0.00,0.00,1.0,false,
Los Gatos,23,4/3/24 6:10 PM,Add Roma Tomatoes,Burrata Options,DiStefano Burrata,0.00,5.00,1.0,false,
Los Gatos,25,4/3/24 6:28 PM,No Spicy,,Ricchezza (Picollo),0.00,0.00,1.0,false,
Los Gatos,23,4/3/24 6:42 PM,Add Shrimp,,Caesar,0.00,9.00,1.0,false,
Los Gatos,28,4/3/24 7:18 PM,Extra Veggies,,Salmon,0.00,0.00,1.0,false,
Los Gatos,29,4/3/24 7:22 PM,Add Chicken,Pasta Options,Cacio e Pepe,0.00,9.00,1.0,false,
Los Gatos,32,4/3/24 7:53 PM,Add Shrimp,,Aglio e Olio,0.00,9.00,1.0,false,
Los Gatos,1,4/4/24 12:50 PM,Salmon,,DD CAESAR,0.00,16.00,1.0,false,
Los Gatos,3,4/4/24 12:59 PM,Add Chicken,Insalate Options,Gorgonzola Salad,0.00,18.00,2.0,false,
Los Gatos,2,4/4/24 1:01 PM,Only Green,,3 Olive Sampler,0.00,0.00,1.0,false,
Los Gatos,2,4/4/24 1:01 PM,Mixed With Balsamic,,Garlic Chili In Oil,0.00,0.00,1.0,false,
Los Gatos,4,4/4/24 1:52 PM,Add Chicken,,Caprese Panini,0.00,0.00,1.0,false,
Los Gatos,4,4/4/24 1:52 PM,Ceasar Dressing Instead Of Pesto,,Caprese Panini,0.00,0.00,1.0,false,
Los Gatos,7,4/4/24 3:42 PM,Gf Bread,,Funghi,0.00,0.00,1.0,false,
Los Gatos,8,4/4/24 4:38 PM,Add Roma Tomatoes,Burrata Options,DiStefano Burrata,0.00,5.00,1.0,false,
Los Gatos,10,4/4/24 5:49 PM,Add Roma Tomatoes,Burrata Options,DiStefano Burrata,0.00,5.00,1.0,false,
Los Gatos,10,4/4/24 5:53 PM,Gluten Free Bread,GF Bread,Crostini Sampler,0.00,5.00,1.0,false,
Los Gatos,13,4/4/24 6:29 PM,Giardinera,,The Alba,0.00,0.00,2.0,false,
Los Gatos,15,4/4/24 6:30 PM,Add Roma Tomatoes,Burrata Options,DiStefano Burrata,0.00,5.00,1.0,false,
Los Gatos,14,4/4/24 6:43 PM,"No Truffle ,no Truffle Oil",,Mushroom Ravioli,0.00,0.00,1.0,false,
Los Gatos,20,4/4/24 7:28 PM,Gluten Free Bread,GF Bread,Funghi,0.00,5.00,1.0,false,
Los Gatos,22,4/4/24 7:41 PM,Add Red Sauce,Pasta Options,Kids Pasta,0.00,4.00,2.0,false,
Los Gatos,22,4/4/24 7:44 PM,Add Chicken,Insalate Options,Caesar,0.00,9.00,1.0,false,
Los Gatos,23,4/4/24 7:54 PM,Add Tomatoes,,DD DiStefano Burrata,0.00,5.00,1.0,false,
Los Gatos,23,4/4/24 7:54 PM,Add Shrimp,Add Shrimp,DD MISTA,0.00,12.00,1.0,false,
Los Gatos,4,4/5/24 12:25 PM,No Truffle,,Ricchezza (Picollo),0.00,0.00,1.0,false,
Los Gatos,4,4/5/24 12:25 PM,No Gorgonzola,,Ricchezza (Picollo),0.00,0.00,1.0,false,
Los Gatos,4,4/5/24 12:25 PM,Include Caprino,,Ricchezza (Picollo),0.00,0.00,1.0,false,
Los Gatos,5,4/5/24 12:53 PM,Add Chicken,Insalate Options,Gorgonzola Salad,0.00,9.00,1.0,false,
Los Gatos,5,4/5/24 12:53 PM,Cut in 3,Panini Mods,Caprese Panini,0.00,0.00,1.0,false,
Los Gatos,7,4/5/24 1:00 PM,Add Chicken,Insalate Options,Caprese Insalate,0.00,9.00,1.0,false,
Los Gatos,10,4/5/24 2:06 PM,Extra Dressing,,Caesar,0.00,0.00,1.0,false,
Los Gatos,11,4/5/24 2:28 PM,No Gorgonzola,,Sinfonia (Mezzo),0.00,0.00,1.0,false,
Los Gatos,12,4/5/24 2:30 PM,Make 4,Crostini Mods,Bolzano,0.00,4.00,1.0,false,
Los Gatos,13,4/5/24 2:40 PM,Extra Pepperoncini,Tonno Salad Options,Tonno Insalate,0.00,3.00,1.0,false,
Los Gatos,18,4/5/24 4:45 PM,Arugula,,DD MISTA,0.00,0.00,1.0,false,
Los Gatos,21,4/5/24 5:23 PM,Add Anchovy,Insalate Options,Caesar,0.00,3.00,1.0,false,
Los Gatos,23,4/5/24 5:48 PM,Make 4,Crostini Mods,Funghi,0.00,4.00,1.0,false,
Los Gatos,23,4/5/24 5:56 PM,Add Anchovy,Insalate Options,Caesar,0.00,3.00,1.0,false,
Los Gatos,29,4/5/24 5:58 PM,Gluten Free Bread,GF Bread,Caprese Panini,0.00,5.00,1.0,false,
Los Gatos,31,4/5/24 6:15 PM,Add To Kids Pasta,,Sausage & Peppers,0.00,0.00,1.0,false,
Los Gatos,32,4/5/24 6:18 PM,Add Roma Tomatoes,Burrata Options,DiStefano Burrata,0.00,5.00,1.0,false,
Los Gatos,36,4/5/24 6:41 PM,Add Roma Tomatoes,Burrata Options,DiStefano Burrata,0.00,5.00,1.0,false,
Los Gatos,38,4/5/24 6:46 PM,Add Chicken,Insalate Options,Gorgonzola Salad,0.00,9.00,1.0,false,
Los Gatos,39,4/5/24 6:51 PM,Add Roma Tomatoes,Burrata Options,DiStefano Burrata,0.00,5.00,1.0,false,
Los Gatos,32,4/5/24 6:55 PM,Add Roma Tomatoes,Burrata Options,DiStefano Burrata,0.00,5.00,1.0,false,
Los Gatos,40,4/5/24 6:57 PM,Add Roma Tomatoes,Burrata Options,DiStefano Burrata,0.00,5.00,1.0,false,
Los Gatos,41,4/5/24 7:00 PM,Extra Crostini,,DD DiStefano Burrata,0.00,0.00,1.0,false,
Los Gatos,43,4/5/24 7:15 PM,Make 4,Crostini Mods,Funghi,0.00,4.00,1.0,false,
Los Gatos,43,4/5/24 7:15 PM,2 Bolzano,,Funghi,0.00,0.00,1.0,false,
Los Gatos,48,4/5/24 7:43 PM,Just Butter And Cheese,,Kids Pasta,0.00,0.00,1.0,false,
Los Gatos,46,4/5/24 7:50 PM,Pressed,,Tonno Panini,0.00,0.00,1.0,false,
Los Gatos,37,4/5/24 7:53 PM,B Day,,Tiramisu,0.00,0.00,1.0,false,
Los Gatos,50,4/5/24 8:04 PM,Add Roma Tomatoes,Burrata Options,DiStefano Burrata,0.00,5.00,1.0,false,
Los Gatos,51,4/5/24 8:16 PM,Gluten Free Bread,GF Bread,Arthur Ave,0.00,5.00,1.0,false,
Los Gatos,51,4/5/24 8:16 PM,"No Provolone Sub Montemayore ,pressed",,Arthur Ave,0.00,0.00,1.0,false,
Los Gatos,3,4/6/24 12:36 PM,Add Roma Tomatoes,Burrata Options,DiStefano Burrata,0.00,5.00,1.0,false,
Los Gatos,5,4/6/24 1:48 PM,Add Chicken,Insalate Options,Gorgonzola Salad,0.00,9.00,1.0,false,
Los Gatos,8,4/6/24 2:27 PM,No Dressing,Insalate Options,Gorgonzola Salad,0.00,0.00,3.0,false,
Los Gatos,17,4/6/24 3:52 PM,Extra Cheese Pls:),,Aglio e Olio,0.00,0.00,1.0,false,
Los Gatos,17,4/6/24 3:52 PM,No Chili Flakes,Aglio E Olio Options,Aglio e Olio,0.00,0.00,1.0,false,
Los Gatos,17,4/6/24 3:52 PM,For Karla,,Aglio e Olio,0.00,0.00,1.0,false,
Los Gatos,20,4/6/24 4:17 PM,Make One Of The Cheeses Burrata,,Ricchezza (Picollo),0.00,0.00,1.0,false,
Los Gatos,20,4/6/24 4:17 PM,Likes Truffle,,Ricchezza (Picollo),0.00,0.00,1.0,false,
Los Gatos,24,4/6/24 6:03 PM,Chili On Side,,Aglio e Olio,0.00,0.00,1.0,false,
Los Gatos,24,4/6/24 6:03 PM,Add One Meatball,Pasta Options,Carbonara,0.00,7.00,1.0,false,
Los Gatos,24,4/6/24 6:03 PM,Meatball On Side,,Carbonara,0.00,0.00,1.0,false,
Los Gatos,27,4/6/24 6:18 PM,Add Roma Tomatoes,Burrata Options,DiStefano Burrata,0.00,5.00,1.0,false,
Los Gatos,26,4/6/24 6:21 PM,Add Roma Tomatoes,Burrata Options,DiStefano Burrata,0.00,5.00,1.0,false,
Los Gatos,29,4/6/24 6:45 PM,Gluten Free Bread,GF Bread,Funghi,0.00,5.00,1.0,false,
Los Gatos,39,4/6/24 7:12 PM,Side Of Veggies,,Mushroom Ravioli,0.00,4.00,1.0,false,
Los Gatos,31,4/6/24 7:14 PM,Make 4,Crostini Mods,Renata,0.00,4.00,1.0,false,
Los Gatos,32,4/6/24 7:16 PM,Add One Meatball,Pasta Options,Kids Pasta,0.00,7.00,1.0,false,
Los Gatos,32,4/6/24 7:16 PM,Add Red Sauce,Pasta Options,Kids Pasta,0.00,2.00,1.0,false,
Los Gatos,43,4/6/24 7:50 PM,Add One Meatball,Pasta Options,Spaghetti Marinara,0.00,7.00,1.0,false,
Los Gatos,1,4/7/24 11:50 AM,Cut In 4,,Arthur Ave,0.00,0.00,2.0,false,
Los Gatos,1,4/7/24 11:50 AM,Cut In 4,,Caprese Panini,0.00,0.00,4.0,false,
Los Gatos,1,4/7/24 1:53 PM,Cut In 4,,Caprese Panini,0.00,0.00,2.0,false,
Los Gatos,1,4/7/24 1:53 PM,Cut In 4,,Arthur Ave,0.00,0.00,1.0,false,
Los Gatos,1,4/7/24 2:20 PM,No Cheese,,Arthur Ave,0.00,0.00,1.0,false,
Los Gatos,1,4/8/24 12:09 PM,No Cheese,Panini Mods,Tonno Panini,0.00,0.00,1.0,false,
Los Gatos,2,4/8/24 12:35 PM,Add Garlic Chili Spread,Panini Mods,Caprese Panini,0.00,1.00,1.0,false,
Los Gatos,2,4/8/24 12:35 PM,Pressed,Caprese Panini Options,Caprese Panini,0.00,0.00,1.0,false,
Los Gatos,4,4/8/24 12:53 PM,No Salt,,Salmon,0.00,0.00,1.0,false,
Los Gatos,3,4/8/24 1:05 PM,Sub Funghi With Bolzano,,Crostini Sampler,0.00,0.00,1.0,false,
Los Gatos,6,4/8/24 1:07 PM,Castelvetranos Only,,3 Olive Sampler,0.00,0.00,1.0,false,
Los Gatos,9,4/8/24 2:30 PM,NO MAKE,,Caesar,0.00,0.00,1.0,false,
Los Gatos,10,4/8/24 3:23 PM,Add Chicken,Insalate Options,Caesar,0.00,9.00,1.0,false,
Los Gatos,14,4/8/24 5:27 PM,Side Lemon,,Gorgonzola Salad,0.00,0.00,1.0,false,
Los Gatos,14,4/8/24 5:27 PM,Add Chicken,Insalate Options,Gorgonzola Salad,0.00,9.00,1.0,false,
Los Gatos,22,4/8/24 6:34 PM,Add Roma Tomatoes,Burrata Options,DiStefano Burrata,0.00,5.00,1.0,false,
Los Gatos,22,4/8/24 6:36 PM,Add Shrimp ,Insalate Options,Caesar,0.00,12.00,1.0,false,
Los Gatos,22,4/8/24 6:36 PM,Anchovy,,Caesar,0.00,0.00,1.0,false,
Los Gatos,22,4/8/24 6:36 PM,Add Salmon,Insalate Options,Mista,0.00,14.00,1.0,false,
Los Gatos,23,4/8/24 6:55 PM,No Truffle,,Pane Bianco,0.00,0.00,1.0,false,
Los Gatos,23,4/8/24 6:55 PM,Add One Meatball,Pasta Options,Spaghetti Marinara,0.00,7.00,1.0,false,
Los Gatos,24,4/8/24 7:19 PM,Add Arugula,Insalate Options,Caprese Insalate,0.00,3.00,1.0,false,
Los Gatos,4,4/9/24 12:17 PM,Light Chili,,Calabrese Lo Riscaldo,0.00,0.00,1.0,false,
Los Gatos,11,4/9/24 1:00 PM,Add Two Meatballs,Pasta Options,Spaghetti Marinara,0.00,12.00,1.0,false,
Los Gatos,14,4/9/24 1:49 PM,Add Pistachios,Insalate Options,Tonno Insalate,0.00,3.00,1.0,false,
Los Gatos,15,4/9/24 2:00 PM,Add Roma Tomatoes,Burrata Options,DiStefano Burrata,0.00,5.00,1.0,false,
Los Gatos,15,4/9/24 2:01 PM,No Chili,,Aglio e Olio,0.00,0.00,1.0,false,
Los Gatos,16,4/9/24 2:23 PM,Add Shrimp ,Insalate Options,Mista,0.00,12.00,1.0,false,
Los Gatos,17,4/9/24 2:44 PM,Add Tonno,,Mista,0.00,0.00,1.0,false,
Los Gatos,22,4/9/24 4:16 PM,Add Meat,Panini Mods,Caprese Panini,0.00,3.00,1.0,false,
Los Gatos,22,4/9/24 4:16 PM,Calabrese,,Caprese Panini,0.00,0.00,1.0,false,
Los Gatos,23,4/9/24 5:23 PM,Gluten Free Bread,GF Bread,Tricolore,0.00,5.00,1.0,false,
Los Gatos,23,4/9/24 5:23 PM,Add Chicken,Insalate Options,Caprese Insalate,0.00,9.00,1.0,false,
Los Gatos,27,4/9/24 6:42 PM,No Meat,Crostini Mods,Crostini Sampler,0.00,0.00,1.0,false,
Los Gatos,25,4/9/24 6:55 PM,Add Roma Tomatoes,Burrata Options,DiStefano Burrata,0.00,5.00,1.0,false,
Los Gatos,28,4/9/24 6:55 PM,Make 4,Crostini Mods,Funghi,0.00,4.00,1.0,false,
Los Gatos,2,4/10/24 12:02 PM,Add Roma Tomatoes,Burrata Options,DiStefano Burrata,0.00,5.00,1.0,false,
Los Gatos,5,4/10/24 1:07 PM,One Meat And One Cheese Spicy,,Ricchezza (Picollo),0.00,0.00,1.0,true,Customer Changed Mind
Los Gatos,6,4/10/24 1:36 PM,Add Roma Tomatoes,Burrata Options,DiStefano Burrata,0.00,5.00,1.0,false,
Los Gatos,7,4/10/24 2:27 PM,No Goia Burrata,Bruschetta Options,Classic Bruschetta,0.00,0.00,1.0,false,
Los Gatos,7,4/10/24 2:27 PM,Add Shrimp ,Insalate Options,1/2 Mista,0.00,12.00,1.0,false,
Los Gatos,10,4/10/24 3:56 PM,Add One Meatball,Pasta Options,Spaghetti Marinara,0.00,7.00,1.0,false,
Los Gatos,17,4/10/24 6:54 PM,Add Roma Tomatoes,Burrata Options,DiStefano Burrata,0.00,5.00,1.0,false,
Los Gatos,18,4/10/24 7:23 PM,Add Salmon,Insalate Options,Caesar,0.00,28.00,2.0,false,
Los Gatos,23,4/10/24 7:40 PM,Dressing On Side,Insalate Options,Caesar,0.00,0.00,1.0,false,
Los Gatos,15,4/10/24 7:47 PM,2 Shrimp Sides,,Open Food,0.00,0.00,1.0,false,
Los Gatos,24,4/10/24 7:48 PM,Side Of Sheimp,,Open Food,0.00,0.00,1.0,false,
Los Gatos,24,4/10/24 7:48 PM,Side Of Shrim!p,,Open Food,0.00,0.00,1.0,false,
Los Gatos,2,4/11/24 12:12 PM,Add Salmon,Insalate Options,Caesar,0.00,14.00,1.0,false,
Los Gatos,8,4/11/24 1:07 PM,Just Oil And Noodles,,Aglio e Olio,0.00,0.00,1.0,false,
Los Gatos,15,4/11/24 2:50 PM,Add Anchovy,Insalate Options,Caesar,0.00,3.00,1.0,false,
Los Gatos,15,4/11/24 2:50 PM,Add Pistachios,Insalate Options,Caesar,0.00,3.00,1.0,false,
Los Gatos,20,4/11/24 5:26 PM,Add Roma Tomatoes,Burrata Options,DiStefano Burrata,0.00,5.00,1.0,false,
Los Gatos,21,4/11/24 5:49 PM,Butter,,Kids Pasta,0.00,0.00,1.0,false,
Los Gatos,28,4/11/24 6:38 PM,Extra Crostini,,DD DiStefano Burrata,0.00,0.00,1.0,false,
Los Gatos,28,4/11/24 6:38 PM,Add Chicken,Add Chicken,DD CAESAR,0.00,10.00,1.0,false,
Los Gatos,29,4/11/24 6:39 PM,Add Roma Tomatoes,Burrata Options,DiStefano Burrata,0.00,5.00,1.0,false,
Los Gatos,31,4/11/24 6:56 PM,Gruner Hum Hofer,,Open Retail Wine,0.00,0.00,2.0,false,
Los Gatos,31,4/11/24 6:56 PM,Bracifote Creek,,Open Retail Wine,0.00,0.00,2.0,false,
Los Gatos,34,4/11/24 7:04 PM,Ema,,Open Retail Wine,0.00,0.00,2.0,false,
Los Gatos,34,4/11/24 7:04 PM,Belleboolle,,Open Retail Wine,0.00,0.00,2.0,false,
Los Gatos,34,4/11/24 7:04 PM,Westgate Curtis,,Open Retail Wine,0.00,0.00,2.0,false,
Los Gatos,37,4/11/24 7:14 PM,Light Dressing,Insalate Options,Caesar,0.00,0.00,1.0,false,
Los Gatos,37,4/11/24 7:15 PM,No Renata,,Crostini Sampler,0.00,0.00,1.0,false,
Los Gatos,37,4/11/24 7:15 PM,2 Tricolore,,Crostini Sampler,0.00,0.00,1.0,false,
