Location,Order #,Sent Date,Modifier,Option Group Name,Parent Menu Selection,Discount,Net Price,Qty,Void?,Void Reason
Los Gatos,37,4/11/24 7:15 PM,No Bread Crumbs,Aglio E Olio Options,Aglio e Olio,0.00,0.00,1.0,false,
Los Gatos,37,4/11/24 7:15 PM,Add 5 Shrimp,Pasta Options,Aglio e Olio,0.00,12.00,1.0,false,
Los Gatos,36,4/11/24 7:18 PM,Tenuta Fulavin,,Open Retail Wine,0.00,0.00,1.0,true,Server Error
Los Gatos,36,4/11/24 7:18 PM,Edi Kante,,Open Retail Wine,0.00,0.00,1.0,false,
Los Gatos,36,4/11/24 7:18 PM,Ruminat,,Open Retail Wine,0.00,0.00,1.0,true,Server Error
Los Gatos,36,4/11/24 7:29 PM,Tenuta Alfonso,,Open Retail Wine,0.00,0.00,1.0,false,
Los Gatos,41,4/11/24 7:39 PM,Lorano,,Open Retail Wine,0.00,0.00,1.0,false,
Los Gatos,41,4/11/24 7:39 PM,Westgate Curtis,,Open Retail Wine,0.00,0.00,2.0,false,
Los Gatos,44,4/11/24 7:54 PM,Gluten Free Bread,GF Bread,Arthur Ave,0.00,5.00,1.0,false,
Los Gatos,44,4/11/24 7:54 PM,No Mista Sub Ceasar,,Arthur Ave,0.00,0.00,1.0,false,
Los Gatos,45,4/11/24 8:11 PM,Serbal,,Open On Prem Wine,0.00,0.00,2.0,false,
Los Gatos,45,4/11/24 8:17 PM,Bolzano,,Open Food,0.00,0.00,1.0,false,
Los Gatos,1,4/12/24 12:04 PM,All Green,,3 Olive Sampler,0.00,0.00,1.0,false,
Los Gatos,5,4/12/24 12:25 PM,Anchovy On The Side,,Caesar,0.00,0.00,1.0,false,
Los Gatos,7,4/12/24 12:37 PM,Gluten Free Bread,GF Bread,Calabrese Lo Riscaldo,0.00,5.00,1.0,true,86ed
Los Gatos,7,4/12/24 12:57 PM,Add Salmon,Insalate Options,Caesar,0.00,14.00,1.0,false,
Los Gatos,10,4/12/24 1:14 PM,Add Anchovy,Insalate Options,Caesar,0.00,3.00,1.0,false,
Los Gatos,10,4/12/24 1:14 PM,Add Pistachios,Insalate Options,Caesar,0.00,3.00,1.0,false,
Los Gatos,1,4/12/24 1:18 PM,All Green,,3 Olive Sampler,0.00,0.00,1.0,false,
Los Gatos,13,4/12/24 1:35 PM,Red Sauce No Oil,,Aglio e Olio,0.00,0.00,2.0,false,
Los Gatos,13,4/12/24 1:35 PM,No Cheese,,Classic Bruschetta,0.00,0.00,1.0,false,
Los Gatos,15,4/12/24 2:09 PM,Add Chicken,,Caesar,0.00,0.00,1.0,false,
Los Gatos,26,4/12/24 5:56 PM,No Pecorino,,Ricchezza (Picollo),0.00,0.00,1.0,false,
Los Gatos,24,4/12/24 6:07 PM,Xtra Peperuncini,,Tonno Panini,0.00,0.00,1.0,false,
Los Gatos,31,4/12/24 6:21 PM,Add Roma Tomatoes,Burrata Options,DiStefano Burrata,0.00,5.00,1.0,false,
Los Gatos,32,4/12/24 6:29 PM,Xtra Dressing,,Caesar,0.00,0.00,1.0,false,
Los Gatos,34,4/12/24 6:48 PM,Light Dressing,Insalate Options,Caesar,0.00,0.00,1.0,false,
Los Gatos,34,4/12/24 6:49 PM,No Cheese,,Aglio e Olio,0.00,0.00,1.0,false,
Los Gatos,36,4/12/24 7:00 PM,Xtra Veggies,,Salmon,0.00,0.00,1.0,false,
Los Gatos,37,4/13/24 4:40 PM,Add Mozzarella,Add Mozz,DD Meatballs,0.00,5.00,1.0,false,
Los Gatos,41,4/13/24 5:28 PM,No Basil Cheese On Side,,Spaghetti Marinara,0.00,0.00,1.0,false,
Los Gatos,41,4/13/24 5:37 PM,Add Giardinera,,The Alba,0.00,0.00,2.0,false,
Los Gatos,44,4/13/24 5:42 PM,Add Mozzarella,Add Mozz,DD Meatballs,0.00,5.00,1.0,false,
Los Gatos,46,4/13/24 5:47 PM,Add Salmon,Insalate Options,Gorgonzola Salad,0.00,14.00,1.0,false,
Los Gatos,46,4/13/24 5:47 PM,Full Salmon,,Gorgonzola Salad,0.00,0.00,1.0,false,
Los Gatos,51,4/13/24 6:37 PM,Add Roma Tomatoes,Burrata Options,DiStefano Burrata,0.00,5.00,1.0,false,
Los Gatos,52,4/13/24 6:41 PM,Add Arugula And Lemon,,DiStefano Burrata,0.00,0.00,1.0,false,
Los Gatos,49,4/13/24 6:45 PM,All Cheese But Duck Salami,,Sinfonia (Mezzo),0.00,0.00,1.0,false,
Los Gatos,49,4/13/24 6:54 PM,Add Chicken,Insalate Options,Gorgonzola Salad,0.00,9.00,1.0,false,
Los Gatos,49,4/13/24 6:54 PM,Well Done Chicken,,Gorgonzola Salad,0.00,0.00,1.0,false,
Los Gatos,57,4/13/24 7:25 PM,Add Roma Tomatoes,Burrata Options,DiStefano Burrata,0.00,5.00,1.0,false,
Los Gatos,57,4/13/24 7:25 PM,Glutenfree,,DiStefano Burrata,0.00,0.00,1.0,false,
Los Gatos,57,4/13/24 7:26 PM,Add One Meatball,Pasta Options,Aglio e Olio,0.00,7.00,1.0,false,
Los Gatos,58,4/13/24 7:36 PM,Nada Picante,,Ricchezza (Picollo),0.00,0.00,1.0,false,
Los Gatos,4,4/14/24 1:30 PM,One Bennie Firm Eggs,,Italian Benedict,0.00,0.00,2.0,false,
Los Gatos,4,4/14/24 1:30 PM,Add Lonzino,,Italian Benedict,0.00,12.00,2.0,false,
Los Gatos,6,4/14/24 2:05 PM,One Eggs No Focaccia,,Italian Benedict,0.00,0.00,1.0,true,Testing / Training
Los Gatos,2,4/15/24 12:09 PM,No Chili Spread,Calabrese Lo Riscaldo Mods,Calabrese Lo Riscaldo,0.00,0.00,1.0,false,
Los Gatos,2,4/15/24 12:09 PM,No Side Of Greenz,,Calabrese Lo Riscaldo,0.00,0.00,1.0,false,
Los Gatos,1,4/15/24 12:24 PM,Castelvetranos Only,,3 Olive Sampler,0.00,0.00,1.0,false,
Los Gatos,3,4/15/24 12:45 PM,Add Salmon,Insalate Options,Caesar,0.00,14.00,1.0,false,
Los Gatos,6,4/15/24 1:12 PM,Mixed Greens No Romaine,,Gorgonzola Salad,0.00,0.00,1.0,false,
Los Gatos,1,4/15/24 1:13 PM,Castelvetranos Only,,3 Olive Sampler,0.00,0.00,1.0,false,
Los Gatos,6,4/15/24 1:27 PM,No Garlic,,Spaghetti Marinara,0.00,0.00,1.0,false,
Los Gatos,6,4/15/24 1:27 PM,No Garlic,,Mushroom Ravioli,0.00,0.00,1.0,false,
Los Gatos,6,4/15/24 2:02 PM,With Milk,Coffee Mods,Small French Press Coffee,0.00,0.00,1.0,false,
Los Gatos,6,4/15/24 2:02 PM,Sugar,Coffee Mods,Small French Press Coffee,0.00,0.00,1.0,false,
Los Gatos,11,4/15/24 2:28 PM,Pressed,Caprese Panini Options,Caprese Panini,0.00,0.00,1.0,false,
Los Gatos,12,4/15/24 2:28 PM,Xtra Dressing,,Caesar,0.00,0.00,1.0,false,
Los Gatos,10,4/15/24 3:05 PM,Top With Basil,,Tonno with Crostini,0.00,0.00,1.0,false,
Los Gatos,10,4/15/24 3:05 PM,No Make,,3 Olive Sampler,0.00,0.00,1.0,false,
Los Gatos,14,4/15/24 4:00 PM,No Cheese,Pasta Options,Kids Pasta,0.00,0.00,1.0,false,
Los Gatos,14,4/15/24 4:00 PM,Butter Pasta With Italian Sausage,,Kids Pasta,0.00,5.00,1.0,false,
Los Gatos,16,4/15/24 5:16 PM,Add Salmon,Insalate Options,Caesar,0.00,14.00,1.0,false,
Los Gatos,17,4/15/24 5:31 PM,Make 4,Crostini Mods,Bolzano,0.00,4.00,1.0,false,
Los Gatos,20,4/15/24 6:26 PM,Add Chicken,Pasta Options,Mushroom Ravioli,0.00,9.00,1.0,false,
Los Gatos,22,4/15/24 6:51 PM,Add Salmon,Insalate Options,Caesar,0.00,14.00,1.0,false,
Los Gatos,23,4/15/24 6:57 PM,Add 5 Shrimp,Pasta Options,Aglio e Olio,0.00,12.00,1.0,false,
Los Gatos,27,4/15/24 7:29 PM,Add Roma Tomatoes,Burrata Options,DiStefano Burrata,0.00,5.00,1.0,false,
Los Gatos,21,4/15/24 7:40 PM,No Onions,Insalate Options,Mista,0.00,0.00,1.0,false,
Los Gatos,28,4/15/24 7:41 PM,Add Susage And Veggies,,Aglio e Olio,0.00,0.00,1.0,false,
Los Gatos,1,4/16/24 12:12 PM,No Chili Flakes,Aglio E Olio Options,Aglio e Olio,0.00,0.00,1.0,false,
Los Gatos,1,4/16/24 12:12 PM,No Bread Crumbs,Aglio E Olio Options,Aglio e Olio,0.00,0.00,1.0,false,
Los Gatos,1,4/16/24 12:12 PM,Add Roma Tomatoes,Burrata Options,DiStefano Burrata,0.00,5.00,1.0,false,
Los Gatos,3,4/16/24 12:40 PM,Add Chicken,Mista Options,Mista,0.00,9.00,1.0,false,
Los Gatos,3,4/16/24 12:40 PM,Lettuce Not Spring Mix,,Mista,0.00,0.00,1.0,false,
Los Gatos,5,4/16/24 1:00 PM,Add Roma Tomatoes,Burrata Options,DiStefano Burrata,0.00,5.00,1.0,false,
Los Gatos,7,4/16/24 1:49 PM,Add Chicken,,Mista,0.00,0.00,1.0,false,
Los Gatos,8,4/16/24 2:07 PM,Gf Bread,,Funghi,0.00,0.00,1.0,false,
Los Gatos,11,4/16/24 2:29 PM,Add Roma Tomatoes,Burrata Options,DiStefano Burrata,0.00,5.00,1.0,false,
Los Gatos,12,4/16/24 3:40 PM,Add Garlic Chili,,Tonno Insalate,0.00,0.00,1.0,false,
Los Gatos,13,4/16/24 3:45 PM,Add Roma Tomatoes,Burrata Options,DiStefano Burrata,0.00,5.00,1.0,false,
Los Gatos,21,4/16/24 6:54 PM,Add Salmon,Mista Options,Mista,0.00,12.00,1.0,false,
Los Gatos,22,4/16/24 6:59 PM,Add Roma Tomatoes,Burrata Options,DiStefano Burrata,0.00,5.00,1.0,false,
Los Gatos,14,4/16/24 7:24 PM,Dont Make,,Caesar,0.00,0.00,2.0,false,
Los Gatos,27,4/16/24 7:44 PM,Add Chicken,Insalate Options,Caesar,0.00,9.00,1.0,false,
Los Gatos,27,4/16/24 7:44 PM,Add Shrimp ,Insalate Options,Mista,0.00,12.00,1.0,false,
Los Gatos,4,4/17/24 12:18 PM,Add Chicken,Pasta Options,Aglio e Olio,0.00,9.00,1.0,false,
Los Gatos,9,4/17/24 1:21 PM,Add Roma Tomatoes,Burrata Options,DiStefano Burrata,0.00,5.00,1.0,false,
Los Gatos,13,4/17/24 3:45 PM,Gluten Free Bread,GF Bread,Crostini Sampler,0.00,5.00,1.0,false,
Los Gatos,19,4/17/24 5:33 PM,"Add Mozz, No Sauce",,Single Meatball,0.00,0.00,1.0,false,
Los Gatos,20,4/17/24 5:41 PM,Castelvetrano,,3 Olive Sampler,0.00,0.00,1.0,false,
Los Gatos,20,4/17/24 5:41 PM,Add Chicken,Insalate Options,Gorgonzola Salad,0.00,9.00,1.0,false,
Los Gatos,20,4/17/24 5:41 PM,Xtra Lemon On The Side,,Gorgonzola Salad,0.00,0.00,1.0,false,
Los Gatos,23,4/17/24 6:24 PM,Add Roma Tomatoes,Burrata Options,DiStefano Burrata,0.00,5.00,1.0,false,
Los Gatos,25,4/17/24 6:31 PM,Add Shrimp ,Insalate Options,Caesar,0.00,12.00,1.0,false,
Los Gatos,26,4/17/24 8:19 PM,"4 Funghi, 1 Bolzano",,Crostini Sampler,0.00,0.00,1.0,false,
Los Gatos,27,4/17/24 8:31 PM,No Make,,Spaghetti Carbonara,0.00,0.00,1.0,false,
Los Gatos,2,4/18/24 12:16 PM,Add Chicken,Insalate Options,Gorgonzola Salad,0.00,9.00,1.0,false,
Los Gatos,3,4/18/24 12:18 PM,Add Roma Tomatoes,Burrata Options,DiStefano Burrata,0.00,5.00,1.0,false,
Los Gatos,3,4/18/24 12:18 PM,Add Shrimp ,Insalate Options,Caprese Insalate,0.00,12.00,1.0,false,
Los Gatos,5,4/18/24 12:48 PM,Dressing On Side,Insalate Options,Gorgonzola Salad,0.00,0.00,1.0,false,
Los Gatos,6,4/18/24 12:56 PM,No Chili Or Breadcrumbs,,Aglio e Olio,0.00,0.00,1.0,false,
Los Gatos,1,4/18/24 12:57 PM,Add Chicken,Insalate Options,Caesar,0.00,9.00,1.0,false,
Los Gatos,9,4/18/24 2:24 PM,No Renata Add Fungi,,Crostini Sampler,0.00,0.00,1.0,false,
Los Gatos,11,4/18/24 3:23 PM,Add Salmon,Insalate Options,Caesar,0.00,14.00,1.0,false,
Los Gatos,11,4/18/24 3:23 PM,Add Pistachios,Insalate Options,Caesar,0.00,3.00,1.0,false,
Los Gatos,14,4/18/24 4:12 PM,Add Chicken,Insalate Options,Caprese Insalate,0.00,9.00,1.0,false,
Los Gatos,15,4/18/24 4:44 PM,Make 4,Crostini Mods,Renata,0.00,4.00,1.0,false,
Los Gatos,17,4/18/24 5:00 PM,Add Veggies,,Aglio e Olio,0.00,0.00,1.0,false,
Los Gatos,17,4/18/24 5:00 PM,No Mushrooms,,Aglio e Olio,0.00,0.00,1.0,false,
Los Gatos,18,4/18/24 6:07 PM,Add Shrimp ,Insalate Options,Caprese Insalate,0.00,12.00,1.0,false,
Los Gatos,22,4/18/24 6:26 PM,Add One Meatball,Pasta Options,Aglio e Olio,0.00,7.00,1.0,false,
Los Gatos,22,4/18/24 6:26 PM,Add One Meatball,Pasta Options,Cacio e Pepe,0.00,7.00,1.0,false,
Los Gatos,20,4/18/24 6:38 PM,Anchovy On Half,,Caesar,0.00,3.00,1.0,false,
Los Gatos,24,4/18/24 6:49 PM,Light Dressing,Insalate Options,Caesar,0.00,0.00,1.0,false,
Los Gatos,28,4/18/24 7:03 PM,Arugula Only,,1/2 Mista,0.00,1.50,1.0,false,
Los Gatos,28,4/18/24 7:04 PM,Arugula Only,Mista Options,Mista,0.00,0.00,1.0,false,
Los Gatos,28,4/18/24 7:04 PM,Add Chicken,Insalate Options,Mista,0.00,9.00,1.0,false,
Los Gatos,24,4/18/24 7:10 PM,Add 5 Shrimp,Pasta Options,Aglio e Olio,0.00,12.00,1.0,false,
Los Gatos,24,4/18/24 7:10 PM,No Bread Crumbs,Aglio E Olio Options,Aglio e Olio,0.00,0.00,1.0,false,
Los Gatos,31,4/18/24 7:36 PM,Add Arugula,Insalate Options,Caprese Insalate,0.00,3.00,1.0,false,
Los Gatos,30,4/18/24 7:46 PM,Gluten Free Bread,GF Bread,Tonno Panini,0.00,5.00,1.0,false,
Los Gatos,2,4/19/24 12:15 PM,Add Anchovy,Insalate Options,Caesar,0.00,3.00,1.0,false,
Los Gatos,2,4/19/24 12:15 PM,Add Chicken,Insalate Options,Gorgonzola Salad,0.00,9.00,1.0,false,
Los Gatos,6,4/19/24 12:29 PM,Add Roma Tomatoes,Burrata Options,DiStefano Burrata,0.00,5.00,1.0,false,
Los Gatos,7,4/19/24 12:34 PM,Gluten Free Bread,GF Bread,Calabrese Lo Riscaldo,0.00,5.00,1.0,false,
Los Gatos,9,4/19/24 12:48 PM,Add Mozzerella,Options,Meatballs,0.00,3.00,1.0,false,
Los Gatos,10,4/19/24 1:07 PM,Add Chicken,Insalate Options,Gorgonzola Salad,0.00,9.00,1.0,false,
Los Gatos,11,4/19/24 1:11 PM,Add Chicken,Insalate Options,Mista,0.00,9.00,1.0,false,
Los Gatos,2,4/19/24 1:13 PM,Add Mozzerella,Options,Meatballs,0.00,3.00,1.0,true,Server Error
Los Gatos,15,4/19/24 1:20 PM,Add Roma Tomatoes,Burrata Options,DiStefano Burrata,0.00,5.00,1.0,false,
Los Gatos,5,4/19/24 1:46 PM,On Focaccia,,Arthur Ave,0.00,0.00,1.0,false,
Los Gatos,19,4/19/24 1:57 PM,Add Mozzerella,Options,Meatballs,0.00,3.00,1.0,false,
Los Gatos,27,4/19/24 5:03 PM,No Cheese,,Aglio e Olio,0.00,0.00,1.0,false,
Los Gatos,27,4/19/24 5:08 PM,Mt Eden Chard,,Open On Prem Wine,0.00,0.00,1.0,false,
Los Gatos,29,4/19/24 5:24 PM,Speck On The Side,,Bolzano,0.00,0.00,1.0,false,
Los Gatos,29,4/19/24 5:24 PM,Odonata Chard,,Open On Prem Wine,0.00,0.00,1.0,false,
Los Gatos,30,4/19/24 5:30 PM,Add Roma Tomatoes,Burrata Options,DiStefano Burrata,0.00,5.00,1.0,false,
Los Gatos,31,4/19/24 5:33 PM,Butter Pasta And Cheese,,Kids Pasta,0.00,0.00,1.0,false,
Los Gatos,32,4/19/24 5:49 PM,Castelveyrano,,3 Olive Sampler,0.00,0.00,1.0,false,
Los Gatos,33,4/19/24 6:00 PM,Gluten Free Bread,Proposta Substitutions,Ricchezza (Picollo),0.00,3.00,1.0,false,
Los Gatos,35,4/19/24 6:03 PM,Add Chicken,Insalate Options,Gorgonzola Salad,0.00,9.00,1.0,false,
Los Gatos,31,4/19/24 6:18 PM,Odonata Half,,Open On Prem Wine,0.00,0.00,1.0,false,
Los Gatos,31,4/19/24 6:18 PM,R8 Half,,Open On Prem Wine,0.00,0.00,1.0,false,
Los Gatos,34,4/19/24 6:42 PM,Balsamic Viniagrette,,Caesar,0.00,0.00,1.0,false,
Los Gatos,40,4/19/24 6:44 PM,Add Roma Tomatoes,Burrata Options,DiStefano Burrata,0.00,5.00,1.0,false,
Los Gatos,46,4/19/24 7:01 PM,No Gorgonzola,,Sinfonia (Mezzo),0.00,0.00,1.0,false,
Los Gatos,46,4/19/24 7:01 PM,Lite Chili,,Calabrese Shrimp,0.00,0.00,1.0,false,
Los Gatos,46,4/19/24 7:06 PM,Add Two Meatballs,Pasta Options,Spaghetti Marinara,0.00,12.00,1.0,false,
Los Gatos,46,4/19/24 7:06 PM,Add Red Sauce,Pasta Options,Spaghetti Marinara,0.00,2.00,1.0,false,
Los Gatos,33,4/19/24 7:08 PM,Gluten Free Bread,GF Bread,Tonno Panini,0.00,5.00,1.0,false,
Los Gatos,47,4/19/24 7:12 PM,Odonata,,Open On Prem Wine,0.00,0.00,1.0,false,
Los Gatos,48,4/19/24 7:19 PM,Castelvetrano,,3 Olive Sampler,0.00,0.00,1.0,false,
Los Gatos,50,4/19/24 7:38 PM,Add One Meatball,Pasta Options,Carbonara,0.00,7.00,1.0,false,
Los Gatos,50,4/19/24 7:38 PM,Meatball On Side,,Carbonara,0.00,0.00,1.0,false,
Los Gatos,54,4/19/24 7:56 PM,Odonata,,Open On Prem Wine,0.00,0.00,1.0,false,
Los Gatos,55,4/19/24 7:59 PM,Add Roma Tomatoes,Burrata Options,DiStefano Burrata,0.00,5.00,1.0,false,
Los Gatos,57,4/19/24 8:06 PM,Add Chicken,Insalate Options,Caesar,0.00,9.00,1.0,false,
Los Gatos,57,4/19/24 8:06 PM,Pressed,Caprese Panini Options,Caprese Panini,0.00,0.00,1.0,false,
Los Gatos,57,4/19/24 8:06 PM,Lite Chili,,Aglio e Olio,0.00,0.00,1.0,false,
Los Gatos,57,4/19/24 8:06 PM,Lite Chili,,Calabrese Lo Riscaldo,0.00,0.00,1.0,false,
Los Gatos,58,4/19/24 8:06 PM,Add One Meatball,Pasta Options,Spaghetti Marinara,0.00,7.00,1.0,false,
Los Gatos,55,4/19/24 8:20 PM,Butter And Cheese,,Kids Pasta,0.00,0.00,1.0,false,
Los Gatos,61,4/19/24 8:25 PM,Add Roma Tomatoes,Burrata Options,DiStefano Burrata,0.00,5.00,1.0,false,
Los Gatos,61,4/19/24 8:26 PM,Add Roma Tomatoes,Burrata Options,DiStefano Burrata,0.00,5.00,1.0,false,
Los Gatos,3,4/20/24 12:09 PM,Add Two Meatballs,Pasta Options,Spaghetti Marinara,0.00,12.00,1.0,false,
Los Gatos,3,4/20/24 12:09 PM,Add One Meatball,Pasta Options,Spaghetti Marinara,0.00,7.00,1.0,false,
Los Gatos,4,4/20/24 12:23 PM,Make 4,Crostini Mods,Funghi,0.00,4.00,1.0,false,
Los Gatos,4,4/20/24 12:36 PM,Add 5 Shrimp,Pasta Options,Aglio e Olio,0.00,12.00,1.0,false,
Los Gatos,4,4/20/24 12:36 PM,Add Salmon,Mista Options,Mista,0.00,12.00,1.0,false,
Los Gatos,6,4/20/24 12:42 PM,Pressed,Caprese Panini Options,Caprese Panini,0.00,0.00,1.0,false,
Los Gatos,7,4/20/24 12:46 PM,Gluten Free Bread,GF Bread,Arthur Ave,0.00,5.00,1.0,false,
Los Gatos,11,4/20/24 12:52 PM,Xtra Dressing,,Caesar,0.00,0.00,1.0,false,
Los Gatos,5,4/20/24 1:05 PM,"Cheese: 4, 12, 18, 6",,Sinfonia (Mezzo),0.00,0.00,1.0,false,
Los Gatos,15,4/20/24 2:25 PM,No Meat,Crostini Mods,Crostini Sampler,0.00,0.00,1.0,false,
Los Gatos,19,4/20/24 3:42 PM,Add Salmon,Caesar Salad Options,Caesar,0.00,14.00,1.0,false,
Los Gatos,19,4/20/24 3:42 PM,Add Shrimp ,Insalate Options,Gorgonzola Salad,0.00,12.00,1.0,false,
Los Gatos,20,4/20/24 3:50 PM,GLS,,Odonata Chardonnay,0.00,15.00,1.0,false,
Los Gatos,19,4/20/24 3:56 PM,Odonata,,Open On Prem Wine,0.00,0.00,1.0,false,
Los Gatos,21,4/20/24 4:01 PM,Dressing On The Side,,Mista,0.00,0.00,1.0,false,
Los Gatos,21,4/20/24 4:01 PM,One Has Sause On The Side,,Kids Pasta,0.00,0.00,2.0,false,
Los Gatos,21,4/20/24 4:01 PM,Add Red Sauce,Pasta Options,Kids Pasta,0.00,4.00,2.0,false,
Los Gatos,21,4/20/24 4:02 PM,One Has Sause On The Side,,Kids Pasta,0.00,0.00,1.0,false,
